trade_date,close,open,北向资金,mid,upper,lower,ret,week,position,signal,capital_ret,策略净值,指数净值
2019-06-20,3828.5183,3718.9416,5564.91,1083.6338799999999,6158.184827225572,-3990.9170672255727,0.030296575715295315,2019-06-17/2019-06-23,1.0,,0.030296575715295315,1.2714638302729069,1.2120237052152099
2019-06-21,3833.9383,3832.7321,7330.5,1106.76228,6215.6298198135755,-4002.1052598135757,0.0014156912871488014,2019-06-17/2019-06-23,1.0,,0.0014156912871488014,1.273263830539349,1.2137395566145008
2019-06-24,3841.2659,3836.3051,-1911.1,1093.4631200000001,6210.256389565555,-4023.330149565554,0.0019112461981978246,2019-06-24/2019-06-30,1.0,,0.0019112461981978246,1.2756973511947702,1.2160593117276826
2019-06-25,3801.3098,3837.4259,-3299.54,1053.74796,6160.163723207816,-4052.667803207816,-0.010401805300695233,2019-06-24/2019-06-30,1.0,,-0.010401805300695233,1.2624277957250296,1.2034100995329937
2019-06-26,3794.331,3779.5125,-1213.47,1039.75736,6149.337349596957,-4069.8226295969575,-0.0018358935122835263,2019-06-24/2019-06-30,1.0,,-0.0018358935122835263,1.2601101127251317,1.2012007667386446
2019-06-27,3834.8172,3807.5376,3838.88,1030.07724,6122.449420127163,-4062.294940127162,0.010670181383753752,2019-06-24/2019-06-30,1.0,,0.010670181383753752,1.2735557161914113,1.21401779679805
2019-06-28,3825.5873,3832.0599,0.0,1014.1794,6099.740676083976,-4071.381876083976,-0.002406868311741084,2019-06-24/2019-06-30,1.0,,-0.002406868311741084,1.2704904352948734,1.2110958158330472
2019-07-02,3937.1691,3931.0486,1121.81,1007.41744,6090.105594410713,-4075.2707144107126,0.029167234008749432,2019-07-01/2019-07-07,1.0,,0.029167234008749432,1.307547127126997,1.246420130900467
2019-07-03,3893.5341,3927.4365,-489.53,988.2638000000001,6063.226230157827,-4086.6986301578268,-0.011082836142344066,2019-07-01/2019-07-07,1.0,,-0.011082836142344066,1.2930557965686558,1.232606260825178
2019-07-04,3873.1019,3895.1978,976.82,988.84312,6063.783850345839,-4086.0976103458393,-0.0052477259670076215,2019-07-01/2019-07-07,1.0,,-0.0052477259670076215,1.2862701940882126,1.2261378809431496
2019-07-05,3893.2025,3875.3736,427.71,972.87472,6037.54877850626,-4091.79933850626,0.0051897937412903605,2019-07-01/2019-07-07,1.0,,0.0051897937412903605,1.2929456710911,1.2325012836436273
2019-07-08,3802.7897,3875.7547,-3605.9,947.6376799999999,6028.175982944719,-4132.9006229447195,-0.023223246157886734,2019-07-08/2019-07-14,1.0,,-0.023223246157886734,1.2629192755025773,1.20387860294366
2019-07-09,3793.1297,3798.0954,-2619.8,931.06724,6022.556147862422,-4160.421667862422,-0.0025402403924675854,2019-07-08/2019-07-14,1.0,,-0.0025402403924675854,1.2597111569465198,1.200820461888835
2019-07-10,3786.739,3807.9497,-1637.41,912.8189199999999,6006.560711758104,-4180.9228717581045,-0.0016848092486791977,2019-07-08/2019-07-14,1.0,,-0.0016848092486791977,1.257588783938632,1.1987973084686414
2019-07-11,3785.221,3806.1855,2435.87,911.1200399999999,6003.553494752057,-4181.313414752058,-0.00040087262417609626,2019-07-08/2019-07-14,1.0,,-0.00040087262417609626,1.25708465102268,1.1983167434457402
2019-07-12,3808.7311,3783.0733,1459.27,924.91304,6010.103751588513,-4160.277671588512,0.006211024402538179,2019-07-08/2019-07-14,1.0,,0.006211024402538179,1.2648924344662382,1.205759517981252
2019-07-15,3824.1878,3792.6409,-1441.0,915.4600800000001,6005.60181340866,-4174.68165340866,0.004058228211490267,2019-07-15/2019-07-21,1.0,,0.004058228211490267,1.2700256566282897,1.2106527652733963
2019-07-16,3806.8449,3819.2474,1009.2,922.83368,6010.253163517571,-4164.585803517572,-0.004535054476142664,2019-07-15/2019-07-21,1.0,,-0.004535054476142664,1.2642660210893815,1.2051623890311887
2019-07-17,3804.6384,3800.1064,1751.05,928.92448,6016.516569428028,-4158.667609428028,-0.0005796138424237762,2019-07-15/2019-07-21,1.0,,-0.0005796138424237762,1.263533235003052,1.2044638602281377
2019-07-18,3768.4019,3793.1893,1844.97,951.0143200000001,6020.366851504379,-4118.338211504379,-0.009524295396902915,2019-07-15/2019-07-21,1.0,,-0.009524295396902915,1.2514989712290785,1.1929921906284309
2019-07-19,3807.9551,3787.5079,6189.24,965.2730799999999,6056.492081268699,-4125.945921268699,0.010496014238821072,2019-07-15/2019-07-21,1.0,,0.010496014238821072,1.2646347222509688,1.2055138536480692
2019-07-22,3781.6832,3813.5022,385.0,971.44884,6058.9525260866085,-4116.054846086608,-0.006899214751770577,2019-07-22/2019-07-28,1.0,,-0.006899214751770577,1.2559097357196136,1.1971967546855167
2019-07-23,3789.9135,3783.5411,-405.66,966.00488,6055.185645335008,-4123.1758853350075,0.0021763589292727037,2019-07-22/2019-07-28,1.0,,0.0021763589292727037,1.2586430460873075,1.1998022845326728
2019-07-24,3819.8325,3803.5867,2050.19,974.20564,6063.5865769670845,-4115.175296967084,0.007894375425718803,2019-07-22/2019-07-28,1.0,,0.007894375425718803,1.268579246820091,1.2092739742034089
2019-07-25,3851.0665,3821.3898,1948.73,979.7858400000001,6069.845919807392,-4110.2742398073915,0.008176798328198842,2019-07-22/2019-07-28,1.0,,0.008176798328198842,1.2789521634846772,1.2191619636140096
