trade_date,ts_code,trade_date,close,open,pct_chg,amount
2012-09-19,000300.SH,20120919,2246.236,2237.218,0.492,32607010.935
2012-09-20,000300.SH,20120920,2195.951,2236.191,-2.2386,38385856.464
2012-09-21,000300.SH,20120921,2199.063,2190.327,0.1417,34043368.088
2012-09-24,000300.SH,20120924,2215.516,2183.969,0.7482,33608761.246
2012-09-25,000300.SH,20120925,2210.154,2209.975,-0.242,26677064.455
2012-09-26,000300.SH,20120926,2184.891,2208.906,-1.143,24918916.453
2012-09-27,000300.SH,20120927,2251.717,2186.004,3.0586,48210577.766
2012-09-28,000300.SH,20120928,2293.106,2235.057,1.8381,54431465.854
2012-10-08,000300.SH,20121008,2270.054,2291.961,-1.0053,33915840.25
2012-10-09,000300.SH,20121009,2320.157,2281.753,2.2071,48330196.363
2012-10-10,000300.SH,20121010,2324.117,2314.593,0.1707,37873996.221
2012-10-11,000300.SH,20121011,2302.533,2315.897,-0.9287,36172963.459
2012-10-12,000300.SH,20121012,2304.531,2311.284,0.0868,33205903.773
2012-10-15,000300.SH,20121015,2294.857,2306.006,-0.4198,28569021.615
2012-10-16,000300.SH,20121016,2298.162,2293.244,0.144,32705140.504
2012-10-17,000300.SH,20121017,2300.803,2307.358,0.1149,31270899.032
2012-10-18,000300.SH,20121018,2336.077,2307.487,1.5331,45050292.53
2012-10-19,000300.SH,20121019,2332.47,2335.105,-0.1544,33173031.578
2012-10-22,000300.SH,20121022,2341.592,2320.468,0.3911,32815273.277
2012-10-23,000300.SH,20121023,2312.077,2340.89,-1.2605,33716876.575
2012-10-24,000300.SH,20121024,2307.779,2303.401,-0.1859,30392377.974
2012-10-25,000300.SH,20121025,2291.239,2306.733,-0.7167,33183528.714
2012-10-26,000300.SH,20121026,2247.907,2291.31,-1.8912,34530067.051
2012-10-29,000300.SH,20121029,2235.854,2241.802,-0.5362,25328650.697
2012-10-30,000300.SH,20121030,2239.882,2236.316,0.1802,29516628.523
2012-10-31,000300.SH,20121031,2254.82,2241.432,0.6669,30634360.248
2012-11-01,000300.SH,20121101,2297.884,2256.609,1.9099,45602138.249
2012-11-02,000300.SH,20121102,2306.774,2297.898,0.3869,34893875.754
2012-11-05,000300.SH,20121105,2301.88,2302.742,-0.2122,33663152.794
2012-11-06,000300.SH,20121106,2292.206,2301.98,-0.4203,34473381.993
2012-11-07,000300.SH,20121107,2287.505,2288.763,-0.2051,30278449.435
2012-11-08,000300.SH,20121108,2245.405,2269.582,-1.8404,30411864.845
2012-11-09,000300.SH,20121109,2240.924,2241.756,-0.1996,24374277.793
2012-11-12,000300.SH,20121112,2251.848,2242.96,0.4875,29040821.378
2012-11-13,000300.SH,20121113,2212.44,2250.842,-1.75,28818451.577
2012-11-14,000300.SH,20121114,2223.11,2213.086,0.4823,23592323.468
2012-11-15,000300.SH,20121115,2193.623,2210.751,-1.3264,23778694.92
2012-11-16,000300.SH,20121116,2177.24,2189.511,-0.7468,26118247.405
2012-11-19,000300.SH,20121119,2174.985,2175.184,-0.1036,26737221.714
2012-11-20,000300.SH,20121120,2164.881,2180.205,-0.4646,22999196.16
2012-11-21,000300.SH,20121121,2194.896,2165.408,1.3865,27121949.931
2012-11-22,000300.SH,20121122,2177.546,2181.179,-0.7905,21536153.037
2012-11-23,000300.SH,20121123,2192.676,2184.409,0.6948,26307630.05
2012-11-26,000300.SH,20121126,2175.599,2187.24,-0.7788,22231498.412
2012-11-27,000300.SH,20121127,2150.638,2168.589,-1.1473,26149735.216
2012-11-28,000300.SH,20121128,2129.161,2142.5,-0.9986,24423321.714
2012-11-29,000300.SH,20121129,2115.676,2128.803,-0.6333,24016256.021
2012-11-30,000300.SH,20121130,2139.661,2114.244,1.1337,28552066.162
2012-12-03,000300.SH,20121203,2108.85,2136.696,-1.44,34173653.616
2012-12-04,000300.SH,20121204,2131.473,2104.928,1.0728,31732336.903
2012-12-05,000300.SH,20121205,2207.878,2128.387,3.5846,69109050.48
2012-12-06,000300.SH,20121206,2203.602,2205.605,-0.1937,42758570.153
2012-12-07,000300.SH,20121207,2246.757,2203.887,1.9584,64996499.283
2012-12-10,000300.SH,20121210,2271.046,2254.915,1.0811,61399772.028
2012-12-11,000300.SH,20121211,2258.5,2263.209,-0.5524,45087981.874
2012-12-12,000300.SH,20121212,2267.767,2257.73,0.4103,39182538.242
2012-12-13,000300.SH,20121213,2242.635,2260.601,-1.1082,36665684.856
2012-12-14,000300.SH,20121214,2355.865,2245.636,5.049,93934741.143
2012-12-17,000300.SH,20121217,2366.7,2359.201,0.4599,85000820.332
2012-12-18,000300.SH,20121218,2368.12,2361.095,0.06,78802837.302
2012-12-19,000300.SH,20121219,2371.109,2362.802,0.1262,61140748.228
2012-12-20,000300.SH,20121220,2384.816,2361.322,0.5781,63028692.015
2012-12-21,000300.SH,20121221,2372.002,2386.376,-0.5373,66887708.129
2012-12-24,000300.SH,20121224,2381.217,2368.007,0.3885,54121541.302
2012-12-25,000300.SH,20121225,2448.395,2373.88,2.8212,89877770.35
2012-12-26,000300.SH,20121226,2457.619,2445.987,0.3767,68406242.066
2012-12-27,000300.SH,20121227,2444.594,2464.779,-0.53,69327603.833
2012-12-28,000300.SH,20121228,2480.049,2448.076,1.4503,66053288.179
2012-12-31,000300.SH,20121231,2522.952,2485.559,1.7299,81149079.56
2013-01-04,000300.SH,20130104,2524.409,2551.814,0.0577,95579245.007
2013-01-07,000300.SH,20130107,2535.985,2518.047,0.4586,73167512.509
2013-01-08,000300.SH,20130108,2525.33,2534.647,-0.4202,76498061.772
2013-01-09,000300.SH,20130109,2526.126,2518.104,0.0315,74233596.955
2013-01-10,000300.SH,20130110,2530.569,2525.59,0.1759,71159045.499
2013-01-11,000300.SH,20130111,2483.23,2533.495,-1.8707,72775921.987
2013-01-14,000300.SH,20130114,2577.725,2474.176,3.8053,96853471.373
2013-01-15,000300.SH,20130115,2595.856,2579.132,0.7034,101356961.358
2013-01-16,000300.SH,20130116,2577.092,2591.365,-0.7228,95564995.007
2013-01-17,000300.SH,20130117,2552.758,2570.711,-0.9442,71716118.533
2013-01-18,000300.SH,20130118,2595.439,2568.692,1.672,77435163.47
2013-01-21,000300.SH,20130121,2610.898,2605.649,0.5956,85357442.058
2013-01-22,000300.SH,20130122,2596.898,2610.392,-0.5362,102261160.399
2013-01-23,000300.SH,20130123,2607.456,2588.198,0.4066,72758926.411
2013-01-24,000300.SH,20130124,2582.755,2606.427,-0.9473,109537680.297
2013-01-25,000300.SH,20130125,2571.674,2580.881,-0.429,60689373.994
2013-01-28,000300.SH,20130128,2651.863,2577.267,3.1182,98173275.704
2013-01-29,000300.SH,20130129,2675.866,2655.377,0.9051,108827009.893
2013-01-30,000300.SH,20130130,2688.711,2678.433,0.48,100856652.553
2013-01-31,000300.SH,20130131,2686.882,2690.951,-0.068,94476820.552
2013-02-01,000300.SH,20130201,2743.324,2677.187,2.1007,110560933.901
2013-02-04,000300.SH,20130204,2748.028,2753.688,0.1715,136119589.827
2013-02-05,000300.SH,20130205,2771.675,2727.93,0.8605,112701171.61
2013-02-06,000300.SH,20130206,2775.844,2771.908,0.1504,88989578.113
2013-02-07,000300.SH,20130207,2759.87,2771.53,-0.5755,95978595.584
2013-02-08,000300.SH,20130208,2771.725,2755.649,0.4295,82903631.783
2013-02-18,000300.SH,20130218,2737.471,2784.065,-1.2358,81001366.822
2013-02-19,000300.SH,20130219,2685.606,2735.045,-1.8946,82460808.23
2013-02-20,000300.SH,20130220,2702.635,2686.093,0.6341,73636360.656
2013-02-21,000300.SH,20130221,2610.549,2675.741,-3.4073,103619498.796
2013-02-22,000300.SH,20130222,2596.604,2607.65,-0.5342,65899100.176
2013-02-25,000300.SH,20130225,2604.96,2607.149,0.3218,55614493.314
2013-02-26,000300.SH,20130226,2567.595,2587.375,-1.4344,83373960.556
2013-02-27,000300.SH,20130227,2594.677,2576.046,1.0548,64612274.221
2013-02-28,000300.SH,20130228,2673.327,2611.94,3.0312,92235377.254
2013-03-01,000300.SH,20130301,2668.836,2671.842,-0.168,80342747.703
2013-03-04,000300.SH,20130304,2545.715,2619.42,-4.6133,112585043.728
