trade_date,ts_code,trade_date,close
2010-11-22,000300.SH,20101122,3171.941
2010-11-23,000300.SH,20101123,3107.176
2010-11-24,000300.SH,20101124,3177.043
2010-11-25,000300.SH,20101125,3223.484
2010-11-26,000300.SH,20101126,3194.853
2010-11-29,000300.SH,20101129,3190.05
2010-11-30,000300.SH,20101130,3136.985
2010-12-01,000300.SH,20101201,3136.024
2010-12-02,000300.SH,20101202,3155.059
2010-12-03,000300.SH,20101203,3158.156
2010-12-06,000300.SH,20101206,3165.57
2010-12-07,000300.SH,20101207,3200.339
2010-12-08,000300.SH,20101208,3171.882
2010-12-09,000300.SH,20101209,3123.366
2010-12-10,000300.SH,20101210,3161.977
2010-12-13,000300.SH,20101213,3261.061
2010-12-14,000300.SH,20101214,3269.474
2010-12-15,000300.SH,20101215,3247.644
2010-12-16,000300.SH,20101216,3230.665
2010-12-17,000300.SH,20101217,3225.661
2010-12-20,000300.SH,20101220,3178.657
2010-12-21,000300.SH,20101221,3249.509
2010-12-22,000300.SH,20101222,3215.453
2010-12-23,000300.SH,20101223,3188.607
2010-12-24,000300.SH,20101224,3162.955
2010-12-27,000300.SH,20101227,3099.709
2010-12-28,000300.SH,20101228,3044.931
2010-12-29,000300.SH,20101229,3061.83
2010-12-30,000300.SH,20101230,3064.098
2010-12-31,000300.SH,20101231,3128.261
2011-01-04,000300.SH,20110104,3189.682
2011-01-05,000300.SH,20110105,3175.662
2011-01-06,000300.SH,20110106,3159.643
2011-01-07,000300.SH,20110107,3166.624
2011-01-10,000300.SH,20110110,3108.187
2011-01-11,000300.SH,20110111,3124.922
2011-01-12,000300.SH,20110112,3142.337
2011-01-13,000300.SH,20110113,3141.284
2011-01-14,000300.SH,20110114,3091.862
2011-01-17,000300.SH,20110117,2974.35
2011-01-18,000300.SH,20110118,2977.648
2011-01-19,000300.SH,20110119,3044.851
2011-01-20,000300.SH,20110120,2944.713
2011-01-21,000300.SH,20110121,2983.456
2011-01-24,000300.SH,20110124,2954.232
2011-01-25,000300.SH,20110125,2938.654
2011-01-26,000300.SH,20110126,2978.431
2011-01-27,000300.SH,20110127,3026.466
2011-01-28,000300.SH,20110128,3036.735
2011-01-31,000300.SH,20110131,3076.508
2011-02-01,000300.SH,20110201,3077.283
2011-02-09,000300.SH,20110209,3040.949
2011-02-10,000300.SH,20110210,3104.163
2011-02-11,000300.SH,20110211,3120.956
2011-02-14,000300.SH,20110214,3219.143
2011-02-15,000300.SH,20110215,3217.671
2011-02-16,000300.SH,20110216,3248.527
2011-02-17,000300.SH,20110217,3245.907
2011-02-18,000300.SH,20110218,3211.876
2011-02-21,000300.SH,20110221,3257.908
2011-02-22,000300.SH,20110222,3163.578
2011-02-23,000300.SH,20110223,3174.742
2011-02-24,000300.SH,20110224,3190.935
2011-02-25,000300.SH,20110225,3197.617
2011-02-28,000300.SH,20110228,3239.559
2011-03-01,000300.SH,20110301,3254.893
2011-03-02,000300.SH,20110302,3243.298
2011-03-03,000300.SH,20110303,3221.718
2011-03-04,000300.SH,20110304,3270.666
2011-03-07,000300.SH,20110307,3334.51
2011-03-08,000300.SH,20110308,3337.457
2011-03-09,000300.SH,20110309,3338.858
2011-03-10,000300.SH,20110310,3280.259
2011-03-11,000300.SH,20110311,3247.376
2011-03-14,000300.SH,20110314,3262.92
2011-03-15,000300.SH,20110315,3203.961
2011-03-16,000300.SH,20110316,3248.195
2011-03-17,000300.SH,20110317,3197.1
2011-03-18,000300.SH,20110318,3215.685
2011-03-21,000300.SH,20110321,3207.11
2011-03-22,000300.SH,20110322,3222.961
2011-03-23,000300.SH,20110323,3264.926
2011-03-24,000300.SH,20110324,3251.361
2011-03-25,000300.SH,20110325,3294.484
2011-03-28,000300.SH,20110328,3290.571
2011-03-29,000300.SH,20110329,3257.979
2011-03-30,000300.SH,20110330,3256.08
2011-03-31,000300.SH,20110331,3223.288
2011-04-01,000300.SH,20110401,3272.729
2011-04-06,000300.SH,20110406,3311.067
2011-04-07,000300.SH,20110407,3324.419
2011-04-08,000300.SH,20110408,3353.358
2011-04-11,000300.SH,20110411,3333.427
2011-04-12,000300.SH,20110412,3326.771
2011-04-13,000300.SH,20110413,3372.031
2011-04-14,000300.SH,20110414,3353.56
2011-04-15,000300.SH,20110415,3358.944
2011-04-18,000300.SH,20110418,3359.438
2011-04-19,000300.SH,20110419,3295.812
2011-04-20,000300.SH,20110420,3295.758
2011-04-21,000300.SH,20110421,3317.367
2011-04-22,000300.SH,20110422,3299.942
2011-04-25,000300.SH,20110425,3249.574
2011-04-26,000300.SH,20110426,3230.96
2011-04-27,000300.SH,20110427,3209.503
2011-04-28,000300.SH,20110428,3161.776
2011-04-29,000300.SH,20110429,3192.723
2011-05-03,000300.SH,20110503,3211.132
2011-05-04,000300.SH,20110504,3129.028
2011-05-05,000300.SH,20110505,3126.117
2011-05-06,000300.SH,20110506,3121.396
2011-05-09,000300.SH,20110509,3129.759
2011-05-10,000300.SH,20110510,3153.221
2011-05-11,000300.SH,20110511,3145.085
2011-05-12,000300.SH,20110512,3101.603
2011-05-13,000300.SH,20110513,3128.093
2011-05-16,000300.SH,20110516,3100.463
2011-05-17,000300.SH,20110517,3116.028
2011-05-18,000300.SH,20110518,3139.379
2011-05-19,000300.SH,20110519,3120.639
2011-05-20,000300.SH,20110520,3121.596
2011-05-23,000300.SH,20110523,3022.98
2011-05-24,000300.SH,20110524,3026.223
2011-05-25,000300.SH,20110525,2990.343
2011-05-26,000300.SH,20110526,2978.381
2011-05-27,000300.SH,20110527,2963.308
2011-05-30,000300.SH,20110530,2954.506
2011-05-31,000300.SH,20110531,3001.556
2011-06-01,000300.SH,20110601,3004.173
2011-06-02,000300.SH,20110602,2955.705
2011-06-03,000300.SH,20110603,2986.349
2011-06-07,000300.SH,20110607,3004.262
2011-06-08,000300.SH,20110608,3008.652
2011-06-09,000300.SH,20110609,2951.889
2011-06-10,000300.SH,20110610,2961.932
2011-06-13,000300.SH,20110613,2950.348
2011-06-14,000300.SH,20110614,2993.559
2011-06-15,000300.SH,20110615,2963.119
2011-06-16,000300.SH,20110616,2917.578
2011-06-17,000300.SH,20110617,2892.157
2011-06-20,000300.SH,20110620,2874.896
2011-06-21,000300.SH,20110621,2909.073
2011-06-22,000300.SH,20110622,2908.582
2011-06-23,000300.SH,20110623,2957.629
2011-06-24,000300.SH,20110624,3027.47
2011-06-27,000300.SH,20110627,3036.491
