代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,今开,昨收,量比,换手率,市盈率,市净率
603960,克来机电,44.31,4.95%,2.09,4.65万,2.01亿,10.94%,45.23,40.61,41,42.22,1.18,1.81%,90.2,12.57
601777,*ST力帆,4.5,4.90%,0.21,5.29万,2361.90万,3.03%,4.5,4.37,4.4,4.29,0.53,0.12%,-4.44,-26.4
600767,ST运盛,2.79,4.89%,0.13,3.05万,843.63万,5.64%,2.79,2.64,2.66,2.66,2.25,0.89%,262.93,4.39
601100,恒立液压,127.82,4.86%,5.92,4.89万,6.14亿,6.51%,129.88,121.94,122.83,121.9,1.21,0.37%,85.01,25.54
600467,好当家,3.03,4.84%,0.14,98.30万,3.03亿,10.38%,3.18,2.88,2.89,2.89,2.55,6.73%,60.97,1.36
600456,宝钛股份,59.75,4.84%,2.76,10.71万,6.33亿,5.58%,60.68,57.5,57.6,56.99,1.41,2.49%,79.81,6.61
600696,ST岩石,13.43,4.76%,0.61,5.72万,7560.94万,7.41%,13.46,12.51,12.51,12.82,1.63,1.71%,534.7,17.1
603505,金石资源,33.26,4.76%,1.51,4.97万,1.62亿,6.93%,33.45,31.25,31.65,31.75,1.44,2.09%,35.73,7.97
600497,驰宏锌锗,5.09,4.73%,0.23,152.82万,7.69亿,7.00%,5.15,4.81,4.86,4.86,2.19,3.00%,28.45,1.74
600976,健民集团,29.77,4.71%,1.34,3.49万,1.01亿,8.65%,30.05,27.59,27.59,28.43,2.94,2.28%,27.22,3.53
600354,*ST敦种,4.95,4.65%,0.22,19.08万,9344.88万,6.77%,4.97,4.65,4.71,4.73,2.22,3.62%,26.38,4.31
601888,中国中免,301.39,4.65%,13.39,10.86万,32.41亿,5.21%,305,290,293.35,288,1.35,0.56%,139.48,29.94
600219,南山铝业,3.83,4.64%,0.17,447.77万,17.30亿,10.66%,4.01,3.62,3.68,3.66,1.65,3.75%,24.28,1.15
603617,君禾股份,9.95,4.63%,0.44,5.56万,5481.79万,6.41%,10.15,9.54,9.54,9.51,1.09,2.81%,21.63,3.08
688599,天合光能,23.75,4.49%,1.02,26.95万,6.28亿,7.04%,24.16,22.56,23,22.73,1.52,8.96%,44.3,3.35
600877,ST电能,10.21,4.40%,0.43,21.88万,2.23亿,6.24%,10.27,9.66,9.67,9.78,2.38,3.18%,282.11,24.17
688699,明微电子,64.82,4.38%,2.72,4.19万,2.69亿,8.70%,66.4,61,61,62.1,2.55,24.76%,61.83,4.65
600426,华鲁恒升,42.7,4.35%,1.78,14.12万,5.96亿,4.01%,42.88,41.24,41.34,40.92,1.32,0.87%,40.37,4.64
600378,昊华科技,22.57,4.35%,0.94,5.61万,1.25亿,5.78%,22.84,21.59,21.59,21.63,1.82,1.57%,34.92,3.3
601058,赛轮轮胎,7.23,4.33%,0.3,64.69万,4.61亿,4.91%,7.27,6.93,6.93,6.93,1.24,2.53%,12.48,2.41
600331,宏达股份,2.22,4.23%,0.09,30.55万,6680.54万,6.10%,2.23,2.1,2.11,2.13,1.68,1.50%,-11.22,2.26
603290,斯达半导,269.7,4.21%,10.89,2.11万,5.48亿,7.71%,269.9,249.94,258,258.81,0.92,5.27%,241.29,38.79
600378,昊华科技,22.52,4.11%,0.89,5.61万,1.25亿,5.78%,22.84,21.59,21.59,21.63,1.82,1.57%,34.84,3.29
600426,华鲁恒升,42.6,4.11%,1.68,14.13万,5.97亿,4.01%,42.88,41.24,41.34,40.92,1.33,0.87%,40.27,4.63
600563,法拉电子,109.95,4.10%,4.33,3.61万,3.88亿,6.93%,110.45,103.13,105.57,105.62,1.36,1.61%,50.51,9.14
603882,金域医学,139.7,4.10%,5.5,5.98万,8.46亿,8.23%,145.85,134.8,135.5,134.2,1.69,1.30%,45.64,19.39
600392,盛和资源,9.75,4.06%,0.38,79.54万,7.66亿,7.26%,9.88,9.2,9.24,9.37,1.71,4.53%,87.39,3.12
600809,山西汾酒,410.8,4.00%,15.8,4.16万,16.67亿,5.91%,412.19,388.83,399.9,395,0.98,0.48%,109.1,39.15
600586,金晶科技,6.79,3.98%,0.26,81.49万,5.44亿,6.13%,6.85,6.45,6.53,6.53,1.27,5.70%,39.72,2.29
600409,三友化工,11.05,3.95%,0.42,42.62万,4.68亿,5.46%,11.22,10.64,10.64,10.63,0.85,2.06%,529.65,2.08
600438,通威股份,44.07,3.94%,1.67,81.13万,35.22亿,5.05%,44.65,42.51,43.41,42.4,1.23,1.89%,44.65,6.54
600989,宝丰能源,13.9,3.89%,0.52,59.40万,8.07亿,5.61%,13.99,13.24,13.6,13.38,1.95,2.98%,24.26,4.18
600179,*ST安通,4.07,3.83%,0.15,9.15万,3701.26万,4.08%,4.11,3.95,3.99,3.92,1.6,0.26%,-24.32,-11.68
600117,西宁特钢,3.87,3.75%,0.14,37.55万,1.48亿,12.06%,4.1,3.65,3.71,3.73,2.66,3.59%,318.34,2.93
600026,中远海能,6.92,3.75%,0.25,49.45万,3.44亿,8.40%,7.18,6.62,6.67,6.67,2.37,1.81%,7.44,0.91
600486,扬农化工,142.3,3.74%,5.13,2.27万,3.22亿,6.26%,144.8,136.21,136.89,137.17,1.14,0.73%,32.33,7.64
603995,甬金股份,32.47,3.74%,1.17,3.59万,1.15亿,7.09%,33.33,31.11,31.19,31.3,1.35,3.48%,21.66,2.5
600740,山西焦化,6.83,3.64%,0.24,77.45万,5.29亿,9.41%,7.08,6.46,6.55,6.59,2.04,8.04%,10.88,1.22
